,WardCode,Register,ListSize,Prevalence_perc,Year_x,Year_y,Ward,Monitor,Longitude,Latitude,NO2,PM10,DUST
0,E05000030,491.0,12393.0,0.03961913983700476,2015,2014,Eastbrook,BG1,0.17789100000000002,51.563752,25.0,,
1,E05000039,449.0,7292.0,0.0615743280307186,2015,2014,Thames,BG2,0.132857,51.529389,30.0,21.0,22.0
2,E05000089,829.0,18981.0,0.043675254201569993,2015,2014,Dudden Hill,BT5,-0.24877399999999997,51.552656,,27.0,31.0
3,E05000091,685.0,13755.0,0.049800072700836064,2015,2014,Harlesden,BT6,-0.24779299999999999,51.537799,,21.0,24.0
4,E05000100,1297.0,28365.0,0.045725365767671416,2015,2014,Stonebridge,BT4,-0.258089,51.552476,80.0,29.0,33.0
5,E05000129,849.0,39974.0,0.021238805223395208,2015,2014,Bloomsbury,BL0,-0.12584800000000002,51.522287,50.0,20.0,
6,E05000138,647.0,22324.0,0.02898226124350475,2015,2014,Holborn and Covent Garden,IM1,-0.12019471131710001,51.5173675146177,94.0,,
7,E05000141,184.0,4370.0,0.042105263157894736,2015,2014,King's Cross,CD9,-0.129053205282516,51.5277066194645,104.0,32.0,
8,E05000144,428.0,11592.0,0.03692201518288475,2015,2014,Swiss Cottage,CD1,-0.175284,51.544219,66.0,22.0,
9,E05000170,345.0,8500.0,0.04058823529411765,2015,2014,Acton Central,EI8,-0.26565205238622197,51.5189160348806,,34.0,41.0
10,E05000175,452.0,11754.0,0.03845499404458057,2015,2014,East Acton,EI1,-0.26550263179975403,51.523607819148104,66.0,29.0,34.0
11,E05000179,254.0,7186.0,0.03534650709713332,2015,2014,Hanger Hill,EA6,-0.292488,51.53085,78.0,28.0,30.0
12,E05000189,1838.0,39303.0,0.046764877999134924,2015,2014,Southall Broadway,EA7,-0.392179,51.508549,29.0,19.0,20.0
13,E05000190,989.0,22031.0,0.04489128954654805,2015,2014,Southall Green,EI2,-0.380241031512669,51.5058699783726,23.0,13.0,17.0
14,E05000193,257.0,2801.0,0.0917529453766512,2015,2014,Bowes,EN5,-0.125338,51.613865000000004,43.0,21.0,
15,E05000197,1433.0,34577.0,0.04144373427422853,2015,2014,Edmonton Green,EN4,-0.050765836368899996,51.614864007,45.0,31.0,31.0
16,E05000207,778.0,14444.0,0.05386319579063971,2015,2014,Southbury,EN1,-0.0661800662229116,51.6450367266602,34.0,,
17,E05000217,913.0,16938.0,0.053902467823828085,2015,2014,Coldharbour and New Eltham,GN4,0.0642224671704697,51.4346627060562,54.0,28.0,
18,E05000220,943.0,17507.0,0.053864168618266976,2015,2014,Eltham West,GR9,0.040725,51.456357000000004,43.0,25.0,
