,Unnamed: 0,WardCode,Register,ListSize,Prevalence_perc,Year_x,Year_y,Ward,Monitor,Longitude,Latitude,NO2,PM10,DUST
0,0,E05000030,491.0,12393.0,0.03961913983700476,2016,2016,Eastbrook,BG1,0.17789100000000002,51.563752,23.0,,
1,1,E05000039,449.0,7292.0,0.0615743280307186,2016,2016,Thames,BG2,0.132857,51.529389,25.0,18.0,19.0
2,2,E05000089,829.0,18981.0,0.043675254201569993,2016,2016,Dudden Hill,BT5,-0.248774,51.552656,38.0,26.0,34.0
3,3,E05000091,685.0,13755.0,0.049800072700836064,2016,2016,Harlesden,BT6,-0.247793,51.537799,37.0,20.0,21.0
4,4,E05000098,1160.0,24325.0,0.04768756423432682,2016,2016,Queens Park,BT8,-0.21771890863937696,51.532405461780904,39.0,20.0,23.0
5,5,E05000100,1297.0,28365.0,0.045725365767671416,2016,2016,Stonebridge,BT4,-0.258089,51.552476,72.0,32.0,37.0
6,6,E05000129,849.0,39974.0,0.021238805223395208,2016,2016,Bloomsbury,BL0,-0.12584800000000002,51.522287,38.0,18.0,
7,7,E05000138,647.0,22324.0,0.02898226124350475,2016,2016,Holborn and Covent Garden,IM1,-0.1201947113171,51.5173675146177,70.0,,
8,8,E05000141,184.0,4370.0,0.042105263157894736,2016,2016,King's Cross,CD9,-0.129053205282516,51.5277066194645,88.0,22.0,
9,9,E05000144,428.0,11592.0,0.03692201518288475,2016,2016,Swiss Cottage,CD1,-0.175284,51.544219,48.0,22.0,
10,10,E05000170,345.0,8500.0,0.04058823529411765,2016,2016,Acton Central,EI8,-0.265652052386222,51.5189160348806,,28.0,31.0
11,11,E05000175,452.0,11754.0,0.03845499404458057,2016,2016,East Acton,EI1,-0.26550263179975403,51.523607819148104,45.0,29.0,34.0
12,12,E05000179,254.0,7186.0,0.03534650709713332,2016,2016,Hanger Hill,EA6,-0.292488,51.53085,58.0,26.0,29.0
13,13,E05000193,257.0,2801.0,0.0917529453766512,2016,2016,Bowes,EN5,-0.125338,51.613865,41.0,19.0,
14,14,E05000197,1433.0,34577.0,0.04144373427422853,2016,2016,Edmonton Green,EN4,-0.0507658363689,51.614864007,31.0,,
15,15,E05000207,778.0,14444.0,0.05386319579063971,2016,2016,Southbury,EN1,-0.0661800662229116,51.6450367266602,24.0,,
16,16,E05000217,913.0,16938.0,0.053902467823828085,2016,2016,Coldharbour and New Eltham,GN4,0.0642224671704697,51.4346627060562,41.0,28.0,
